id,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,reviews_per_month,has_license,Dist_Acropolis,Dist_Syntagma
0,1,1,1,AMPELOKIPOI,Entire home/apt,8,2,5,79,1,1125,8,1125,2.3,1125,1,19,49,79,170,32,1,0.41,1,3.889738957,3.024713541
1,1,1,1,AMPELOKIPOI,Entire home/apt,4,1,1,50,1,1125,8,1125,1.5,1125,1,26,56,86,361,52,1,0.72,1,3.849331327,2.985638362
2,1,1,1,AMPELOKIPOI,Entire home/apt,2,1,1,38,1,1125,8,1125,2.2,1125,1,15,26,56,331,71,1,0.97,1,3.860750101,2.996545771
3,1,1,1,AMPELOKIPOI,Entire home/apt,4,1,2,48,1,1125,8,1125,1.5,1125,1,22,52,82,357,24,1,0.33,1,3.849331327,2.985638362
4,1,1,1,AMPELOKIPOI,Entire home/apt,4,1,1,47,1,1125,8,1125,1.8,1125,1,0,27,57,208,17,1,0.23,1,3.900523863,3.036795718
5,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,59,2,1125,2,1125,2,1125,1,25,52,82,357,465,0,4.65,1,0.419323886,0.522630434
6,0,1,1,KERAMEIKOS,Private room,1,1,0,39,1,730,1,730,1,730,0,0,0,0,0,0,0,1.2,0,1.174516105,1.718249756
7,0,1,0,AGIOS NIKOLAOS,Entire home/apt,5,1,2,30,5,365,5,365,5,365,1,28,58,88,363,71,0,0.94,0,3.80359583,3.50047156
8,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,7,1.5,5,120,2,365,2,365,2,365,1,0,0,0,267,121,1,1.45,1,0.623218831,0.3854156
9,0,1,0,PAGKRATI,Entire home/apt,2,1,1,70,10,730,10,730,10,730,1,28,58,88,363,3,0,0.03,0,1.594980656,1.053675705
10,0,1,1,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,6,2,4,50,2,1125,2,1125,2,1125,1,16,33,48,323,343,1,3.31,1,1.990832656,1.9686059
11,0,1,1,STADIO,Entire home/apt,3,1,1,28,3,300,3,300,3,300,1,2,17,47,322,9,0,0.13,0,1.397486096,1.048925017
12,1,1,1,AKADIMIA PLATONOS,Entire home/apt,2,1.5,1,32,2,1125,2,1125,2,1125,1,0,0,23,298,458,0,4.51,1,2.651284432,2.911271193
13,0,1,0,STADIO,Entire home/apt,4,1,3,45,4,730,4,730,4,730,1,0,0,16,291,21,0,0.27,0,1.906352268,1.498790537
14,0,0,0,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,4,1,4,75,4,730,4,730,4,730,1,30,60,90,365,0,0,1.2,0,2.10842981,1.786038445
15,0,1,1,AKROPOLI,Entire home/apt,3,1,1,65,2,32,2,32,2,32,1,0,0,0,172,122,0,1.19,1,0.077080102,0.792415767
16,0,1,1,NEA KYPSELI,Entire home/apt,5,1.5,0,56,2,365,2,365,2,365,1,25,55,85,360,31,1,0.58,1,3.809387479,3.130033796
17,1,1,1,KOLONAKI,Entire home/apt,2,1,1,40,5,150,5,150,5,150,1,0,23,53,328,8,0,0.07,1,1.675823423,0.812065646
18,0,1,1,NEA KYPSELI,Entire home/apt,7,1,7,69,2,365,2,365,2,365,1,18,46,76,345,46,1,0.45,1,3.809387479,3.130033796
19,0,1,1,PAGKRATI,Entire home/apt,4,1,2,52,2,300,2,300,2,300,1,0,21,51,326,59,0,0.66,1,2.155475878,1.570393797
20,0,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,4,1,1,55,3,365,3,365,3,365,1,23,53,83,358,177,0,1.6,1,1.602246086,1.119693359
21,1,1,0,AKROPOLI,Entire home/apt,3,1,0,60,2,365,2,365,2,365,1,18,48,78,353,31,1,0.39,1,0.552395833,0.974680948
22,1,1,1,STADIO,Entire home/apt,4,1,2,61,1,730,2,730,2,730,1,11,39,67,342,173,1,1.79,1,1.784220321,1.370591025
23,0,1,0,PATISIA,Entire home/apt,4,1.5,4,74,14,730,14,730,14,730,0,0,0,0,0,0,0,1.2,0,4.20385133,3.69416333
24,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,4,1,2,35,2,30,2,30,2,30,1,0,0,25,300,116,0,1.02,0,0.713143633,0.187794799
25,0,1,0,GKAZI,Private room,2,1,1,30,7,730,7,730,7,730,0,0,0,0,0,0,0,1.2,0,1.568636461,2.231038875
26,0,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,36,2,30,2,30,2,30,1,6,6,31,306,51,0,0.44,0,0.540787817,0.335958535
27,0,1,0,ANO PATISIA,Entire home/apt,4,1,1,129,5,365,5,365,5,365,1,30,60,90,365,1,0,0.01,0,5.392054416,4.854986305
28,0,1,0,AGIOS KONSTANTINOS-PLATEIA BATHIS,Entire home/apt,8,1,8,21,3,365,3,365,3,365,1,15,39,69,344,39,0,0.75,1,1.485404313,1.455293878
29,1,1,1,KERAMEIKOS,Entire home/apt,4,1,1,61,2,1125,2,1125,2,1125,1,10,38,60,306,24,0,0.27,0,0.873183892,1.106986506
30,1,1,1,KERAMEIKOS,Entire home/apt,4,1,1,62,2,1125,2,1125,2,1125,1,13,41,63,317,11,0,0.19,0,0.873183892,1.106986506
31,0,1,1,PLATEIA ATTIKIS,Entire home/apt,8,1,8,45,2,730,2,730,2,730,1,0,0,0,85,57,1,0.71,1,2.268998645,1.893719821
32,1,1,1,EMPORIKO TRIGONO-PLAKA,Entire home/apt,2,1,1,193,2,1125,3,1125,2,1125,1,12,37,65,333,472,1,5.21,1,0.668553668,0.935172264
33,1,1,1,MOYSEIO-EKSARXEIA-NEAPOLI,Entire home/apt,2,1,1,58,4,720,4,720,4,720,1,0,24,54,329,2,1,0.03,1,2.229787277,1.472099787
34,0,1,0,PLATEIA AMERIKIS,Entire home/apt,4,1.5,3,58,2,1125,2,1125,2,1125,1,30,60,90,365,21,0,0.21,0,3.806637526,3.3744912
